base,target,kind,a_idx,a_size,b_idx,b_size
US,JP,changed-same-index,263,297040,263,297040
US,JP,changed-same-index,264,295892,264,295892
US,JP,changed-same-index,265,295852,265,295852
US,JP,changed-same-index,266,297076,266,297076
US,JP,changed-same-index,267,296636,267,296636
US,JP,changed-same-index,268,294148,268,294148
US,JP,changed-same-index,269,290212,269,290212
US,JP,changed-same-index,270,291232,270,291232
US,JP,changed-same-index,271,296328,271,296328
US,JP,changed-same-index,272,293456,272,293456
US,JP,changed-same-index,273,286652,273,286652
US,JP,changed-same-index,274,294672,274,294324
US,JP,changed-same-index,275,314856,275,314856
US,JP,changed-same-index,276,75476,276,75476
US,JP,changed-same-index,277,73804,277,73804
US,JP,changed-same-index,278,71988,278,71988
US,JP,changed-same-index,279,69648,279,69648
US,JP,changed-same-index,280,71952,280,71952
US,JP,changed-same-index,281,75908,281,75908
US,JP,changed-same-index,282,66848,282,66848
US,JP,changed-same-index,283,75064,283,75064
US,JP,changed-same-index,284,72576,284,72576
US,JP,changed-same-index,285,68640,285,68640
US,JP,changed-same-index,286,69660,286,69660
US,JP,changed-same-index,287,74756,287,74756
US,JP,changed-same-index,288,71884,288,71884
US,JP,changed-same-index,289,65080,289,65080
US,JP,changed-same-index,290,73100,290,72752
US,JP,changed-same-index,291,93284,291,93284
US,JP,changed-same-index,292,184244,292,184244
US,JP,changed-same-index,293,180528,293,180528
US,JP,changed-same-index,294,180812,294,180812
US,JP,changed-same-index,295,176832,295,176832
US,JP,changed-same-index,296,180284,296,180284
US,JP,changed-same-index,297,184280,297,184280
US,JP,changed-same-index,298,173996,298,173996
US,JP,changed-same-index,299,182652,299,182652
US,JP,changed-same-index,300,180944,300,180944
US,JP,changed-same-index,301,177400,301,177400
US,JP,changed-same-index,302,176880,302,176880
US,JP,changed-same-index,303,183220,303,183220
US,JP,changed-same-index,304,154476,304,154476
US,JP,changed-same-index,305,173476,305,173476
US,JP,changed-same-index,306,183188,306,182748
US,JP,changed-same-index,307,154476,307,154476
US,JP,changed-same-index,322,32444,322,31916
US,JP,changed-same-index,324,138364,324,138364
US,JP,changed-same-index,325,141696,325,141696
US,JP,changed-same-index,326,141936,326,141936
US,JP,changed-same-index,327,142896,327,142896
US,JP,changed-same-index,328,142588,328,142588
US,JP,changed-same-index,329,143548,329,143548
US,JP,changed-same-index,330,143788,330,143788
US,JP,changed-same-index,331,142064,331,142064
US,JP,changed-same-index,346,14900,346,14584
US,JP,changed-same-index,348,107804,348,107804
US,JP,changed-same-index,349,107320,349,107320
US,JP,changed-same-index,350,104252,350,104252
US,JP,changed-same-index,351,103504,351,103504
US,JP,changed-same-index,352,107092,352,107092
US,JP,changed-same-index,353,107272,353,107272
US,JP,changed-same-index,354,104080,354,104080
US,JP,changed-same-index,355,107780,355,107780
US,JP,changed-same-index,356,106012,356,106012
US,JP,changed-same-index,357,103692,357,103692
US,JP,changed-same-index,358,105424,358,105424
US,JP,changed-same-index,359,108620,359,108620
US,JP,changed-same-index,360,107040,360,107040
US,JP,changed-same-index,361,104428,361,104428
US,JP,changed-same-index,362,108240,362,107924
US,JP,changed-same-index,363,116828,363,116828
US,JP,changed-same-index,364,229432,364,229432
US,JP,changed-same-index,365,229396,365,229396
US,JP,changed-same-index,366,120184,366,119228
US,JP,changed-same-index,367,120184,367,119228
US,JP,changed-same-index,368,107372,368,107372
US,JP,changed-same-index,369,107372,369,107372
US,JP,changed-same-index,370,93892,370,95548
US,JP,changed-same-index,371,93892,371,95548
US,JP,changed-same-index,372,95856,372,95856
US,JP,changed-same-index,373,95856,373,95856
US,JP,changed-same-index,374,114056,374,114056
US,JP,changed-same-index,375,114056,375,114056
US,JP,changed-same-index,376,111800,376,111800
US,JP,changed-same-index,377,111800,377,111800
US,JP,changed-same-index,378,13004,378,13004
US,JP,changed-same-index,379,13004,379,13004
US,JP,changed-same-index,380,25936,380,25936
US,JP,changed-same-index,381,25936,381,25936
US,JP,changed-same-index,382,168636,382,168636
US,JP,changed-same-index,383,168636,383,168636
US,JP,changed-same-index,384,46904,384,46904
US,JP,changed-same-index,385,46904,385,46904
US,JP,changed-same-index,386,106368,386,106368
US,JP,changed-same-index,387,106368,387,106368
US,JP,changed-same-index,388,60040,388,60040
US,JP,changed-same-index,389,60040,389,60040
US,JP,changed-same-index,390,123776,390,123776
US,JP,changed-same-index,391,123776,391,123776
US,JP,changed-same-index,392,34432,392,34432
US,JP,changed-same-index,393,34432,393,34432
US,JP,changed-same-index,394,133480,394,132968
US,JP,changed-same-index,395,133480,395,132968
US,JP,changed-same-index,398,22928,398,22424
US,JP,changed-same-index,399,22928,399,22424
US,JP,changed-same-index,400,29876,400,29876
US,JP,changed-same-index,401,29876,401,29876
US,JP,changed-same-index,402,58020,402,58644
US,JP,changed-same-index,403,58020,403,58644
US,JP,changed-same-index,404,44260,404,44260
US,JP,changed-same-index,405,44260,405,44260
US,JP,changed-same-index,406,25884,406,25884
US,JP,changed-same-index,407,25884,407,25884
US,JP,changed-same-index,408,45076,408,45076
US,JP,changed-same-index,409,45076,409,45076
US,JP,changed-same-index,410,19496,410,19496
US,JP,changed-same-index,411,19496,411,19496
US,JP,changed-same-index,412,12752,412,12752
US,JP,changed-same-index,413,12752,413,12752
US,JP,changed-same-index,414,43384,414,43384
US,JP,changed-same-index,415,43384,415,43384
US,JP,changed-same-index,416,48796,416,48796
US,JP,changed-same-index,417,48796,417,48796
US,JP,changed-same-index,418,19484,418,19484
US,JP,changed-same-index,419,19484,419,19484
US,JP,changed-same-index,420,53368,420,53368
US,JP,changed-same-index,421,53368,421,53368
US,JP,changed-same-index,422,51584,422,51584
US,JP,changed-same-index,423,51584,423,51584
US,JP,changed-same-index,424,8388,424,8388
US,JP,changed-same-index,425,8388,425,8388
US,JP,changed-same-index,426,50540,426,49200
US,JP,changed-same-index,427,50540,427,49200
US,JP,changed-same-index,428,98124,428,98124
US,JP,changed-same-index,429,98124,429,98124
US,JP,changed-same-index,430,76512,430,76512
US,JP,changed-same-index,431,76512,431,76512
US,JP,changed-same-index,432,82196,432,82196
US,JP,changed-same-index,433,82196,433,82196
US,JP,changed-same-index,434,84436,434,84436
US,JP,changed-same-index,435,84436,435,84436
US,JP,changed-same-index,436,82720,436,82720
US,JP,changed-same-index,437,82720,437,82720
US,JP,changed-same-index,446,7896,446,7896
US,JP,changed-same-index,447,7896,447,7896
US,JP,changed-same-index,448,2116,448,2116
US,JP,changed-same-index,449,2116,449,2116
US,JP,changed-same-index,450,49828,450,133684
US,JP,changed-same-index,451,49828,451,133684
US,JP,changed-same-index,452,253640,452,201088
US,JP,changed-same-index,453,253640,453,201088
US,JP,changed-same-index,454,270120,454,301804
US,JP,changed-same-index,455,270120,455,301804
US,JP,changed-same-index,456,173244,456,227144
US,JP,changed-same-index,457,173244,457,227144
US,JP,changed-same-index,458,296776,458,319724
US,JP,changed-same-index,459,296776,459,319724
US,JP,changed-same-index,460,48116,460,95264
US,JP,changed-same-index,461,48116,461,95264
US,JP,changed-same-index,462,238040,462,247148
US,JP,changed-same-index,463,238040,463,247148
US,JP,changed-same-index,464,138236,464,176756
US,JP,changed-same-index,465,138236,465,176756
US,JP,changed-same-index,466,216484,466,244812
US,JP,changed-same-index,467,216484,467,244812
US,JP,changed-same-index,468,140412,468,303384
US,JP,changed-same-index,469,140412,469,303384
US,JP,changed-same-index,470,40716,470,40716
US,JP,changed-same-index,471,40716,471,40716
US,JP,changed-same-index,472,48668,472,48668
US,JP,changed-same-index,473,48668,473,48668
US,JP,changed-same-index,474,46192,474,46192
US,JP,changed-same-index,475,46192,475,46192
US,JP,changed-same-index,476,44388,476,43348
US,JP,changed-same-index,477,44388,477,43348
US,JP,changed-same-index,478,50460,478,50460
US,JP,changed-same-index,479,50460,479,50460
US,JP,changed-same-index,481,4147200,481,4159488
US,JP,changed-same-index,482,3962880,482,3962880
US,JP,changed-same-index,483,4405248,483,4405248
US,JP,changed-same-index,484,3686400,484,3686400
US,JP,changed-same-index,485,4909056,485,4909056
US,JP,changed-same-index,486,4773888,486,4773888
US,JP,changed-same-index,487,7821312,487,7981056
US,JP,changed-same-index,488,5431296,488,5670912
US,JP,changed-same-index,489,5670912,489,5689344
US,JP,changed-same-index,490,6457344,490,6457344
US,JP,changed-same-index,491,6733824,491,6733824
US,JP,changed-same-index,492,7532544,492,7538688
US,JP,changed-same-index,493,9203712,493,9203712
US,JP,changed-same-index,494,4134912,494,4134912
US,JP,changed-same-index,495,8742912,495,8736768
US,JP,changed-same-index,496,5664768,496,5664768
US,JP,changed-same-index,497,6027264,497,6027264
US,JP,changed-same-index,506,3950592,506,3950592
US,JP,changed-same-index,507,262164,507,262164
US,JP,changed-same-index,508,262164,508,262164
US,JP,changed-same-index,515,229432,515,229432
US,JP,changed-same-index,522,352656,522,353916
US,JP,changed-same-index,523,16596,523,16596
US,JP,changed-same-index,524,229396,524,229396
US,JP,changed-same-index,525,179668,525,179668
US,JP,changed-same-index,537,100948,537,100812
US,JP,changed-same-index,538,8360,538,8360
US,JP,changed-same-index,540,437192,540,434988
US,JP,changed-same-index,541,14224,541,14224
US,JP,changed-same-index,543,470712,543,641532
US,JP,changed-same-index,545,355396,545,510020
US,JP,changed-same-index,547,132116,547,158484
US,JP,changed-same-index,548,240,548,240
US,JP,changed-same-index,553,94328,553,95984
US,JP,changed-same-index,554,408,554,408
